Day,Hour,Base_Load_W
30,17,2829.3
30,18,3206.9
30,19,3316.3
30,20,3333.2
30,21,3295.8
30,22,3238.9
30,23,3153.3
30,24,2825.3
31,1,2566.8
31,2,2462.6
31,3,2418.1
31,4,2458.8
31,5,2460.6
31,6,2532.1
31,7,2920.1
31,8,3195.4
31,9,3078.6
31,10,2922.8
31,11,2776.5
31,12,2681.0
31,13,2572.4
31,14,2611.0
31,15,2665.5
31,16,2813.6
31,17,3102.7
31,18,3208.3
31,19,3199.2
31,20,3110.4
31,21,3045.4
31,22,3040.5
31,23,2908.0
31,24,2536.6
32,1,2264.5
32,2,2150.3
32,3,2062.8
32,4,2097.4
32,5,2187.9
32,6,2236.2
32,7,2511.0
32,8,2917.8
32,9,2805.1
32,10,2578.2
32,11,2512.7
32,12,2355.0
32,13,2324.2
32,14,2285.5
32,15,2298.4
32,16,2430.8
32,17,2698.3
32,18,2897.8
32,19,2903.3
32,20,2910.7
32,21,2931.7
32,22,2914.2
32,23,2734.5
32,24,2516.6
33,1,2311.5
33,2,2168.7
33,3,2112.6
33,4,2185.5
33,5,2224.1
33,6,2283.5
33,7,2661.2
33,8,2977.2
33,9,2844.8
33,10,2694.6
33,11,2643.9
33,12,2584.7
33,13,2519.3
33,14,2499.1
33,15,2585.3
33,16,2730.3
33,17,2890.5
33,18,3047.9
33,19,3082.2
33,20,3030.0
33,21,2965.0
33,22,2849.8
33,23,2681.1
33,24,2465.3
34,1,2267.4
34,2,2129.8
34,3,2087.9
34,4,2058.5
34,5,2090.7
34,6,2111.0
34,7,2203.9
34,8,2328.2
34,9,2585.4
34,10,2753.0
34,11,2833.1
34,12,2834.9
34,13,2828.3
34,14,2800.9
34,15,2872.6
34,16,2806.9
34,17,2831.6
34,18,2971.0
34,19,3100.2
34,20,2925.2
34,21,2767.2
34,22,2618.9
34,23,2522.4
34,24,2418.1
35,1,2187.9
35,2,2088.5
35,3,2034.7
35,4,2009.1
35,5,2022.5
35,6,2081.1
35,7,2118.7
35,8,2230.2
35,9,2426.9
35,10,2721.9
35,11,2872.6
35,12,2927.4
35,13,2906.8
35,14,2914.0
35,15,2927.3
35,16,2987.8
35,17,3074.9
35,18,3077.8
35,19,3000.3
35,20,2950.1
35,21,2847.3
35,22,2795.3
35,23,2614.2
35,24,2322.4
36,1,2061.6
36,2,1939.2
36,3,1915.0
36,4,1861.4
36,5,1890.4
36,6,1993.0
36,7,2332.4
36,8,2645.0
36,9,2509.7
36,10,2256.1
36,11,2260.2
36,12,2263.3
36,13,2235.7
36,14,2269.3
36,15,2301.2
36,16,2402.0
36,17,2744.8
36,18,2963.7
36,19,3016.2
36,20,3038.9
36,21,3003.9
36,22,2989.2
36,23,2766.8
36,24,2445.5
37,1,2143.6
37,2,2027.4
37,3,2024.2
37,4,2021.0
37,5,2030.7
37,6,2144.3
37,7,2430.3
37,8,2694.4
37,9,2588.2
37,10,2458.8
37,11,2414.8
37,12,2265.1
37,13,2171.4
37,14,2161.1
37,15,2121.3
37,16,2256.6
37,17,2570.6
37,18,2848.4
37,19,2855.3
37,20,2764.0
